STATION,SAMPLE DATE,YEAR,TEST NAME,TEST CODE,TEST VALUE,UNIT,REMARK
N31,10-Jun-1980,1980,CONDUCTIVITY,COND25,330,uS/cm,
N31,10-Jun-1980,1980,IRON,FEUT,20,ug/L,
N31,10-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,6,ug/L,
N31,10-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
N31,10-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,7,ug/L,
N31,10-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,390,ug/L,
N31,10-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.001,mg/L,
N31,10-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,16,ug/L,
N31,10-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.65,mg/L,
C1,11-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,2.4,ug/L,
C1,11-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,3,ug/L,
C1,11-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,3,ug/L,
C1,11-Jun-1980,1980,CHLORIDE,CLIDUR,3.2,mg/L,
C1,11-Jun-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C1,11-Jun-1980,1980,IRON,FEUT,40,ug/L,
C1,11-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,12,ug/L,
C1,11-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
C1,11-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,4,ug/L,
C1,11-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,460,ug/L,
C1,11-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.002,mg/L,
C1,11-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,32,ug/L,
C1,11-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.65,mg/L,
C6,11-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,2.2,ug/L,
C6,11-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.9,ug/L,
C6,11-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
C6,11-Jun-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C6,11-Jun-1980,1980,IRON,FEUT,80,ug/L,
C6,11-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,18,ug/L,
C6,11-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,2,ug/L,
C6,11-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,8,ug/L,
C6,11-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,510,ug/L,
C6,11-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.007,mg/L,
C6,11-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,42,ug/L,
C6,11-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.3,mg/L,
C9,11-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.9,ug/L,
C9,11-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.2,ug/L,
C9,11-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.2,ug/L,
C9,11-Jun-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C9,11-Jun-1980,1980,IRON,FEUT,40,ug/L,
C9,11-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,10,ug/L,
C9,11-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
C9,11-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,5,ug/L,<
C9,11-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,400,ug/L,
C9,11-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.037,mg/L,
C9,11-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,56,ug/L,
C9,11-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.25,mg/L,
K39,11-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,3.8,ug/L,
K39,11-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,4.5,ug/L,
K39,11-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
K39,11-Jun-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
K39,11-Jun-1980,1980,IRON,FEUT,10,ug/L,
K39,11-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,20,ug/L,
K39,11-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,2,ug/L,
K39,11-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,23,ug/L,
K39,11-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,410,ug/L,
K39,11-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.005,mg/L,
K39,11-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,15,ug/L,
K39,11-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.45,mg/L,
K42,11-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,2.9,ug/L,
K42,11-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,3.7,ug/L,
K42,11-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
K42,11-Jun-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
K42,11-Jun-1980,1980,IRON,FEUT,30,ug/L,
K42,11-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,16,ug/L,
K42,11-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,2,ug/L,
K42,11-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,13,ug/L,
K42,11-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,370,ug/L,
K42,11-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.022,mg/L,
K42,11-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,14,ug/L,
K42,11-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.45,mg/L,
E50,12-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,0.9,ug/L,
E50,12-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.3,ug/L,
E50,12-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.2,ug/L,
E50,12-Jun-1980,1980,CONDUCTIVITY,COND25,330,uS/cm,
E50,12-Jun-1980,1980,IRON,FEUT,40,ug/L,
E50,12-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,10,ug/L,
E50,12-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
E50,12-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,5,ug/L,<
E50,12-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,390,ug/L,
E50,12-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.002,mg/L,
E50,12-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,21,ug/L,
E50,12-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.25,mg/L,
E51,12-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.2,ug/L,
E51,12-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.5,ug/L,
E51,12-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
E51,12-Jun-1980,1980,CONDUCTIVITY,COND25,330,uS/cm,
E51,12-Jun-1980,1980,IRON,FEUT,40,ug/L,
E51,12-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,8,ug/L,
E51,12-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
E51,12-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,4,ug/L,
E51,12-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,340,ug/L,
E51,12-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.35,mg/L,
K45,12-Jun-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.2,ug/L,
K45,12-Jun-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.8,ug/L,
K45,12-Jun-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.1,ug/L,
K45,12-Jun-1980,1980,CONDUCTIVITY,COND25,330,uS/cm,
K45,12-Jun-1980,1980,IRON,FEUT,20,ug/L,
K45,12-Jun-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,16,ug/L,
K45,12-Jun-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
K45,12-Jun-1980,1980,NITROGEN; NITRATE,NNO3FR,4,ug/L,
K45,12-Jun-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,430,ug/L,
K45,12-Jun-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.002,mg/L,
K45,12-Jun-1980,1980,PHOSPHORUS; TOTAL,PPUT,16,ug/L,
K45,12-Jun-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.25,mg/L,
C1,02-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C1,02-Jul-1980,1980,IRON,FEUT,20,ug/L,
C1,02-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,14,ug/L,
C1,02-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,2,ug/L,
C1,02-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,3,ug/L,
C1,02-Jul-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,370,ug/L,
C1,02-Jul-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.004,mg/L,
C1,02-Jul-1980,1980,PHOSPHORUS; TOTAL,PPUT,25,ug/L,
C1,02-Jul-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.3,mg/L,
C6,02-Jul-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,0.6,ug/L,
C6,02-Jul-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.2,ug/L,
C6,02-Jul-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
C6,02-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C6,02-Jul-1980,1980,IRON,FEUT,10,ug/L,
C6,02-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,14,ug/L,
C6,02-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
C6,02-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,4,ug/L,
C6,02-Jul-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,350,ug/L,
C6,02-Jul-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.011,mg/L,
C6,02-Jul-1980,1980,PHOSPHORUS; TOTAL,PPUT,26,ug/L,
C6,02-Jul-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.3,mg/L,
C9,02-Jul-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,0.8,ug/L,
C9,02-Jul-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.2,ug/L,
C9,02-Jul-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
C9,02-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
C9,02-Jul-1980,1980,IRON,FEUT,30,ug/L,
C9,02-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,26,ug/L,
C9,02-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
C9,02-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,4,ug/L,
C9,02-Jul-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,370,ug/L,
C9,02-Jul-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.001,mg/L,
C9,02-Jul-1980,1980,PHOSPHORUS; TOTAL,PPUT,14,ug/L,
C9,02-Jul-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.25,mg/L,
K45,02-Jul-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,0.7,ug/L,
K45,02-Jul-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1,ug/L,
K45,02-Jul-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
K45,02-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
K45,02-Jul-1980,1980,IRON,FEUT,60,ug/L,
K45,02-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,36,ug/L,
K45,02-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,7,ug/L,
K45,02-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,11,ug/L,
K45,02-Jul-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,380,ug/L,
K45,02-Jul-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.005,mg/L,
K45,02-Jul-1980,1980,PHOSPHORUS; TOTAL,PPUT,18,ug/L,
K45,02-Jul-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.25,mg/L,
E50,03-Jul-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.1,ug/L,
E50,03-Jul-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.4,ug/L,
E50,03-Jul-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
E50,03-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
E50,03-Jul-1980,1980,IRON,FEUT,30,ug/L,
E50,03-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,12,ug/L,
E50,03-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
E50,03-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,5,ug/L,<
E50,03-Jul-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,350,ug/L,
E50,03-Jul-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.001,mg/L,
E50,03-Jul-1980,1980,PHOSPHORUS; TOTAL,PPUT,15,ug/L,
E50,03-Jul-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.4,mg/L,
E51,03-Jul-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.3,ug/L,
E51,03-Jul-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.2,ug/L,
E51,03-Jul-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
E51,03-Jul-1980,1980,IRON,FEUT,40,ug/L,
E51,03-Jul-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,14,ug/L,
E51,03-Jul-1980,1980,NITROGEN; NITRITE,NNO2UR,1,ug/L,
E51,03-Jul-1980,1980,NITROGEN; NITRATE,NNO3FR,5,ug/L,<
