"target_piece","loc_removed","remove_value","file_removed","rank_removed"
"R","a1",652,1,1
"R","a1",690,1,1
"R","a1",578,1,1
"R","a1",727,1,1
"R","a1",576,1,1
"R","a1",752,1,1
"R","a1",561,1,1
"R","a1",625,1,1
"R","a1",700,1,1
"R","a1",771,1,1
"R","a1",608,1,1
"R","a1",568,1,1
"R","a1",578,1,1
"R","a1",588,1,1
"R","a1",615,1,1
"R","a1",631,1,1
"R","b1",555,2,1
"R","b1",556,2,1
"R","b1",701,2,1
"R","b1",674,2,1
"R","b1",629,2,1
"R","b1",692,2,1
"R","b1",738,2,1
"R","b1",756,2,1
"R","b1",766,2,1
"R","b1",633,2,1
"R","b1",697,2,1
"R","b1",876,2,1
"R","b1",753,2,1
"R","b1",857,2,1
"R","b1",627,2,1
"R","b1",653,2,1
"R","b1",575,2,1
"R","b1",787,2,1
"R","b1",718,2,1
"R","b1",735,2,1
"R","b1",882,2,1
"R","b1",807,2,1
"R","b1",204,2,1
"R","b1",562,2,1
"R","b1",1030,2,1
"R","b1",986,2,1
"R","b1",771,2,1
"R","a1",593,1,1
"R","a1",498,1,1
"R","a1",1083,1,1
"R","a1",1233,1,1
"R","a1",1425,1,1
"R","a1",1723,1,1
"R","a1",668,1,1
"R","a1",698,1,1
"R","a1",657,1,1
"R","a1",625,1,1
"R","a1",684,1,1
"R","a1",682,1,1
"R","a1",718,1,1
"R","a1",722,1,1
"R","a1",587,1,1
"R","a1",699,1,1
"R","a1",691,1,1
"R","a1",699,1,1
"R","a1",676,1,1
"R","a1",710,1,1
"R","a1",657,1,1
"R","a1",653,1,1
"R","a1",610,1,1
"R","a1",685,1,1
"R","a1",684,1,1
"R","a1",728,1,1
"R","a1",706,1,1
"R","a1",812,1,1
"R","a1",715,1,1
"R","a1",706,1,1
"R","a1",685,1,1
"R","a1",638,1,1
"R","a1",639,1,1
"R","a1",654,1,1
"R","a1",679,1,1
"R","a1",700,1,1
"R","a1",702,1,1
"R","a1",676,1,1
"R","a1",654,1,1
"R","a1",616,1,1
"R","a1",624,1,1
"R","a1",742,1,1
"R","a1",730,1,1
"R","a1",810,1,1
"R","a1",804,1,1
"R","a1",714,1,1
"R","a1",720,1,1
"R","a1",825,1,1
"R","a1",595,1,1
"R","a1",782,1,1
"R","a1",687,1,1
"R","a1",833,1,1
"R","a1",1239,1,1
"R","a1",819,1,1
"R","a1",607,1,1
"R","a1",634,1,1
"R","a1",419,1,1
"R","a1",1021,1,1
"R","a1",575,1,1
"R","a1",336,1,1
"R","a1",449,1,1
"R","a1",945,1,1
"R","e1",51,5,1
"R","a1",668,1,1
"R","a1",685,1,1
"R","a1",645,1,1
"R","a1",692,1,1
"R","a1",660,1,1
"R","a1",655,1,1
"R","a1",660,1,1
"R","a1",672,1,1
"R","a1",679,1,1
"R","a1",661,1,1
"R","a1",666,1,1
"R","a1",650,1,1
"R","a1",675,1,1
"R","a1",648,1,1
"R","a1",630,1,1
"R","a1",715,1,1
"R","a1",637,1,1
"R","a1",683,1,1
"R","a1",662,1,1
"R","a1",747,1,1
"R","a1",677,1,1
"R","a1",698,1,1
"R","a1",708,1,1
"R","a1",697,1,1
"R","a1",683,1,1
"R","a1",684,1,1
"R","a1",669,1,1
"R","a1",722,1,1
"R","a1",722,1,1
"R","a1",737,1,1
"R","a1",776,1,1
"R","a1",771,1,1
"R","a1",776,1,1
"R","a1",828,1,1
"R","a1",737,1,1
"R","a1",619,1,1
"R","a1",746,1,1
"R","a1",890,1,1
"R","a1",707,1,1
"R","a1",799,1,1
"R","a1",753,1,1
"R","a1",722,1,1
"R","a1",762,1,1
"R","a1",833,1,1
"R","a1",561,1,1
"R","a1",780,1,1
"R","a1",987,1,1
"R","a1",732,1,1
"R","a1",687,1,1
"R","a1",885,1,1
"R","a1",668,1,1
"R","a1",645,1,1
"R","a1",663,1,1
"R","a1",650,1,1
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",634,1,1
"R","a1",712,1,1
"R","a1",651,1,1
"R","a1",686,1,1
"R","a1",673,1,1
"R","a1",722,1,1
"R","a1",673,1,1
"R","a1",681,1,1
"R","d1",622,4,1
"R","d1",699,4,1
"R","d1",683,4,1
"R","d1",668,4,1
"R","d1",691,4,1
"R","d1",783,4,1
"R","d1",661,4,1
"R","d1",661,4,1
"R","d1",652,4,1
"R","d1",663,4,1
"R","d1",599,4,1
"R","d1",632,4,1
"R","d1",542,4,1
"R","d1",646,4,1
"R","d1",554,4,1
"R","d1",592,4,1
"R","d1",576,4,1
"R","d1",532,4,1
"R","d1",538,4,1
"R","d1",645,4,1
"R","d1",515,4,1
"R","d1",623,4,1
"R","d1",374,4,1
"R","d1",462,4,1
"R","d1",597,4,1
"R","d1",507,4,1
"R","f1",662,6,1
"R","f1",650,6,1
"R","f1",730,6,1
"R","f1",762,6,1
"R","f1",790,6,1
"R","f1",776,6,1
"R","f1",831,6,1
"R","f1",757,6,1
"R","f1",759,6,1
"R","f1",865,6,1
"R","f1",838,6,1
"R","f1",892,6,1
"R","f1",1232,6,1
"R","f1",722,6,1
"R","f1",799,6,1
"R","f1",1313,6,1
"R","f1",621,6,1
"R","f6",665,6,6
"R","f6",1625,6,6
"R","h6",22,8,6
"R","h1",694,8,1
"R","h1",766,8,1
"R","h1",764,8,1
"R","h1",1103,8,1
"R","h1",1772,8,1
"R","h1",1573,8,1
"R","h1",1516,8,1
"R","h1",1087,8,1
"R","h1",1273,8,1
"R","f1",398,6,1
"R","f1",30,6,1
"R","f1",796,6,1
"R","f1",426,6,1
"R","f1",646,6,1
"R","f7",739,6,7
"R","f7",838,6,7
"R","g7",420,7,7
"R","g7",577,7,7
"R","g8",73,7,8
"R","g8",577,7,8
"R","g4",88,7,4
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",629,1,1
"R","a1",637,1,1
"R","a1",636,1,1
"R","a1",670,1,1
"R","a1",622,1,1
"R","a1",638,1,1
"R","a1",669,1,1
"R","a1",645,1,1
"R","a1",653,1,1
"R","a1",805,1,1
"R","a1",586,1,1
"R","a1",511,1,1
"R","a1",611,1,1
"R","a1",611,1,1
"R","a1",624,1,1
"R","a1",593,1,1
"R","a1",577,1,1
"R","a1",618,1,1
"R","a1",623,1,1
"R","a1",592,1,1
"R","a1",582,1,1
"R","a1",663,1,1
"R","a1",648,1,1
"R","a1",624,1,1
"R","a1",808,1,1
"R","a1",738,1,1
"R","a1",675,1,1
"R","a1",724,1,1
"R","a1",597,1,1
"R","a1",721,1,1
"R","a1",661,1,1
"R","a1",751,1,1
"R","a1",615,1,1
"R","a1",633,1,1
"R","a1",583,1,1
"R","a1",737,1,1
"R","a1",641,1,1
"R","a1",776,1,1
"R","a1",722,1,1
"R","a1",648,1,1
"R","a1",623,1,1
"R","a1",663,1,1
"R","a1",640,1,1
"R","a1",662,1,1
"R","a1",667,1,1
"R","a1",604,1,1
"R","a1",534,1,1
"R","a1",675,1,1
"R","a1",616,1,1
"R","a1",802,1,1
"R","a1",632,1,1
"R","a1",638,1,1
"R","b1",761,2,1
"R","b1",748,2,1
"R","b1",676,2,1
"R","b1",629,2,1
"R","e1",745,5,1
"R","e1",814,5,1
"R","e8",91,5,8
"R","f1",773,6,1
"R","e1",777,5,1
"R","e1",935,5,1
"R","e6",730,5,6
"R","e6",745,5,6
"R","e7",766,5,7
"R","e7",708,5,7
"R","f7",53,6,7
"R","a1",641,1,1
"R","a1",673,1,1
"R","a1",665,1,1
"R","a1",648,1,1
"R","a1",669,1,1
"R","a1",647,1,1
"R","a1",601,1,1
"R","a1",652,1,1
"R","a1",630,1,1
"R","a1",638,1,1
"R","a1",640,1,1
"R","a1",678,1,1
"R","a1",652,1,1
"R","a1",653,1,1
"R","a1",638,1,1
"R","a1",643,1,1
"R","a1",678,1,1
"R","a1",705,1,1
"R","a1",683,1,1
"R","a1",797,1,1
"R","a1",776,1,1
"R","a1",726,1,1
"R","a1",789,1,1
"R","a1",768,1,1
"R","a1",769,1,1
"R","a1",658,1,1
"R","a1",768,1,1
"R","a1",735,1,1
"R","a1",1211,1,1
"R","a1",766,1,1
"R","a1",1455,1,1
"R","a1",798,1,1
"R","a1",786,1,1
"R","a1",750,1,1
"R","a1",801,1,1
"R","a1",824,1,1
"R","d6",938,4,6
"R","d6",939,4,6
"R","d6",1298,4,6
"R","d1",719,4,1
"R","d1",845,4,1
"R","d1",775,4,1
"R","d1",840,4,1
"R","d1",830,4,1
"R","d1",744,4,1
"R","d1",712,4,1
"R","d1",882,4,1
"R","d1",749,4,1
"R","d1",844,4,1
"R","d1",836,4,1
"R","d1",620,4,1
"R","d1",863,4,1
"R","d1",815,4,1
"R","d1",794,4,1
"R","d1",706,4,1
"R","d1",767,4,1
"R","d1",688,4,1
"R","d1",730,4,1
"R","d1",729,4,1
"R","d1",958,4,1
"R","d1",724,4,1
"R","d1",747,4,1
"R","d1",733,4,1
"R","d1",737,4,1
"R","e1",721,5,1
"R","e1",724,5,1
"R","e1",773,5,1
"R","e1",811,5,1
"R","e1",1089,5,1
"R","e1",915,5,1
"R","e1",950,5,1
"R","e1",773,5,1
"R","e1",789,5,1
"R","e1",851,5,1
"R","e1",823,5,1
"R","e1",730,5,1
"R","e1",1254,5,1
"R","e1",709,5,1
"R","e2",1372,5,2
"R","e2",958,5,2
"R","e2",921,5,2
"R","e2",880,5,2
"R","e2",922,5,2
"R","e2",912,5,2
"R","e2",1299,5,2
"R","e2",935,5,2
"R","e2",752,5,2
"R","e2",810,5,2
"R","e2",812,5,2
"R","e2",816,5,2
"R","e5",932,5,5
"R","e5",801,5,5
"R","a1",641,1,1
"R","a1",676,1,1
"R","a1",680,1,1
"R","a1",668,1,1
"R","a1",645,1,1
"R","a1",665,1,1
"R","a1",679,1,1
"R","a1",674,1,1
"R","a1",676,1,1
"R","a1",736,1,1
"R","a1",731,1,1
"R","a1",686,1,1
"R","a1",719,1,1
"R","a1",722,1,1
"R","a1",738,1,1
"R","a1",687,1,1
"R","a1",640,1,1
"R","a1",736,1,1
"R","a1",688,1,1
"R","a1",694,1,1
"R","a1",694,1,1
"R","a1",669,1,1
"R","a1",676,1,1
"R","a1",853,1,1
"R","a1",711,1,1
"R","a1",681,1,1
"R","a1",630,1,1
"R","a1",722,1,1
"R","a1",742,1,1
"R","a1",702,1,1
"R","a1",718,1,1
"R","a1",745,1,1
"R","a1",840,1,1
"R","a1",773,1,1
"R","a1",742,1,1
"R","a1",879,1,1
"R","a1",715,1,1
"R","a1",793,1,1
"R","a1",805,1,1
"R","a1",745,1,1
"R","a1",801,1,1
"R","a1",784,1,1
"R","a1",773,1,1
"R","a1",835,1,1
"R","a1",768,1,1
"R","a1",753,1,1
"R","a1",753,1,1
"R","a1",753,1,1
"R","a1",791,1,1
"R","a1",766,1,1
"R","a1",758,1,1
"R","a1",825,1,1
"R","e1",871,5,1
"R","e1",760,5,1
"R","e1",929,5,1
"R","e1",792,5,1
"R","d1",984,4,1
"R","d1",1069,4,1
"R","d1",886,4,1
"R","d1",814,4,1
"R","d5",1008,4,5
"R","d5",950,4,5
"R","d5",907,4,5
"R","d5",954,4,5
"R","d6",1060,4,6
"R","d6",316,4,6
"R","d6",1158,4,6
"R","d6",321,4,6
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",639,1,1
"R","a1",630,1,1
"R","a1",639,1,1
"R","a1",636,1,1
"R","a1",690,1,1
"R","a1",689,1,1
"R","a1",662,1,1
"R","a1",655,1,1
"R","a1",607,1,1
"R","a1",629,1,1
"R","a1",636,1,1
"R","a1",637,1,1
"R","a1",658,1,1
"R","a1",647,1,1
"R","a1",654,1,1
"R","a1",651,1,1
"R","a1",653,1,1
"R","a1",659,1,1
"R","a1",707,1,1
"R","a1",619,1,1
"R","a1",665,1,1
"R","a1",671,1,1
"R","a1",666,1,1
"R","a1",721,1,1
"R","a1",703,1,1
"R","a1",667,1,1
"R","c1",729,3,1
"R","c1",793,3,1
"R","c1",793,3,1
"R","c1",778,3,1
"R","c1",793,3,1
"R","c1",722,3,1
"R","c1",682,3,1
"R","c1",653,3,1
"R","c1",669,3,1
"R","c1",663,3,1
"R","c1",656,3,1
"R","c1",721,3,1
"R","c1",640,3,1
"R","c1",753,3,1
"R","c1",674,3,1
"R","c1",659,3,1
"R","c1",648,3,1
"R","c1",716,3,1
"R","c1",676,3,1
"R","c1",691,3,1
"R","c1",685,3,1
"R","c1",726,3,1
"R","c1",691,3,1
"R","c1",729,3,1
"R","c1",776,3,1
"R","c1",895,3,1
"R","c1",690,3,1
"R","c1",586,3,1
"R","c1",695,3,1
"R","c1",700,3,1
"R","c1",1007,3,1
"R","c1",717,3,1
"R","c1",1204,3,1
"R","c1",759,3,1
"R","c7",1150,3,7
"R","a1",668,1,1
"R","a1",685,1,1
"R","a1",596,1,1
"R","a1",638,1,1
"R","a1",624,1,1
"R","a1",671,1,1
"R","a1",648,1,1
"R","a1",698,1,1
"R","a1",660,1,1
"R","a1",676,1,1
"R","a1",586,1,1
"R","a1",668,1,1
"R","a1",650,1,1
"R","a1",624,1,1
"R","a1",618,1,1
"R","a1",625,1,1
"R","a1",627,1,1
